Domingo_semana,region,0,0.0275,0.975
2020-08-09,13,-65.3,-107.0,-30.9
2020-08-09,14,-0.4,-3.8,3.0
2020-08-09,15,-20.7,-32.5,-8.6
2020-08-09,16,1.8,-6.2,10.3
2020-08-16,1,-13.3,-23.9,-2.0
2020-08-16,2,-15.2,-28.4,0.0
2020-08-16,3,-24.6,-35.2,-12.0
2020-08-16,4,10.2,-4.4,25.7
2020-08-16,5,5.9,-13.7,24.6
2020-08-16,6,8.8,-4.1,24.9
2020-08-16,7,5.0,-7.3,20.2
2020-08-16,8,51.2,30.4,70.9
2020-08-16,9,1.0,-8.1,10.3
2020-08-16,10,-7.9,-19.9,3.2
2020-08-16,11,0.5,-0.9,2.0
2020-08-16,12,36.7,25.1,48.9
2020-08-16,13,-4.7,-32.6,27.1
2020-08-16,14,0.2,-3.4,4.3
2020-08-16,15,-5.5,-15.5,5.1
2020-08-16,16,21.4,12.4,30.6
2020-08-23,1,-6.2,-16.4,2.9
2020-08-23,2,-0.9,-15.1,13.5
2020-08-23,3,-16.2,-26.0,-5.6
2020-08-23,4,-24.8,-40.5,-10.0
2020-08-23,5,4.0,-15.4,22.6
2020-08-23,6,19.6,3.2,32.9
2020-08-23,7,9.1,-3.3,24.4
2020-08-23,8,21.6,3.3,44.6
2020-08-23,9,11.9,1.7,20.1
2020-08-23,10,3.3,-6.9,14.4
2020-08-23,11,0.6,-1.0,2.1
2020-08-23,12,40.9,24.8,57.6
2020-08-23,13,4.7,-24.5,37.2
2020-08-23,14,3.1,-0.7,7.0
2020-08-23,15,-1.8,-12.4,11.4
2020-08-23,16,8.6,-1.8,21.0
2020-08-30,1,-9.2,-17.2,-1.1
2020-08-30,2,-14.8,-26.2,-2.7
2020-08-30,3,-2.3,-11.0,7.9
2020-08-30,4,-16.0,-31.7,-3.0
2020-08-30,5,-6.7,-26.0,12.0
2020-08-30,6,-1.4,-15.7,14.6
2020-08-30,7,48.3,31.4,64.6
2020-08-30,8,-24.8,-48.2,-2.0
2020-08-30,9,16.7,6.5,26.7
2020-08-30,10,-1.0,-12.5,11.2
2020-08-30,11,0.3,-1.4,2.0
2020-08-30,12,41.1,25.3,57.7
2020-08-30,13,-12.4,-41.5,19.3
2020-08-30,14,9.4,4.0,15.0
2020-08-30,15,-7.6,-18.8,3.0
2020-08-30,16,2.3,-11.4,12.9
2020-09-06,1,-3.9,-11.9,3.7
2020-09-06,2,-13.7,-24.3,-2.4
2020-09-06,3,-0.9,-11.5,9.0
2020-09-06,4,-12.8,-25.0,0.2
2020-09-06,5,-19.8,-37.2,0.0
2020-09-06,6,-22.6,-34.3,-7.2
2020-09-06,7,2.1,-13.9,18.4
2020-09-06,8,-37.9,-58.1,-16.0
2020-09-06,9,8.1,-4.4,20.0
2020-09-06,10,3.1,-8.7,16.6
2020-09-06,11,4.3,1.7,7.4
2020-09-06,12,-0.6,-17.9,18.4
2020-09-06,13,-94.2,-124.6,-63.1
2020-09-06,14,6.7,0.6,13.3
2020-09-06,15,-4.0,-13.5,5.3
2020-09-06,16,5.0,-6.3,17.1
2020-09-13,1,-10.7,-17.9,-4.3
2020-09-13,2,-8.2,-17.9,1.0
2020-09-13,3,-4.0,-13.2,6.2
2020-09-13,4,-28.6,-39.1,-18.6
2020-09-13,5,-53.8,-68.9,-38.7
2020-09-13,6,-8.3,-21.5,5.4
2020-09-13,7,-13.2,-29.4,3.4
2020-09-13,8,-23.5,-41.2,-0.6
2020-09-13,9,6.9,-5.3,22.4
2020-09-13,10,16.2,3.6,28.4
2020-09-13,11,8.4,3.7,13.6
2020-09-13,12,4.4,-16.3,21.3
2020-09-13,13,-53.8,-81.0,-25.1
2020-09-13,14,-5.3,-12.0,1.7
2020-09-13,15,-3.2,-12.2,5.7
2020-09-13,16,-24.4,-35.5,-13.3
2020-09-20,1,2.0,-4.7,8.1
2020-09-20,2,7.1,-2.2,17.9
2020-09-20,3,-3.5,-11.8,5.7
2020-09-20,4,5.4,-4.0,14.2
2020-09-20,5,6.5,-6.9,21.0
2020-09-20,6,-7.6,-20.9,5.9
2020-09-20,7,-3.0,-18.1,13.3
2020-09-20,8,19.6,0.8,36.3
2020-09-20,9,28.3,14.4,42.9
2020-09-20,10,28.6,14.9,44.9
2020-09-20,11,13.7,6.8,20.4
2020-09-20,12,31.4,11.4,50.7
2020-09-20,13,32.4,10.1,57.3
2020-09-20,14,28.2,19.9,37.7
2020-09-20,15,15.6,6.1,25.2
2020-09-20,16,-4.8,-13.9,3.6
2020-09-27,1,2.2,-3.8,8.7
2020-09-27,2,-2.4,-12.7,7.7
2020-09-27,3,-7.0,-14.2,0.3
2020-09-27,4,-14.2,-22.7,-5.4
2020-09-27,5,-2.5,-17.4,10.9
2020-09-27,6,3.6,-7.7,15.6
2020-09-27,7,-27.7,-41.2,-11.8
2020-09-27,8,-28.8,-46.3,-11.2
2020-09-27,9,29.3,15.4,46.4
2020-09-27,10,30.5,13.6,45.6
2020-09-27,11,-6.3,-13.5,0.9
2020-09-27,12,-32.9,-53.2,-10.7
2020-09-27,13,-55.1,-79.7,-30.3
2020-09-27,14,-1.7,-12.7,7.4
2020-09-27,15,-2.7,-13.6,7.2
2020-09-27,16,-5.0,-12.8,2.7
2020-10-04,1,-3.2,-9.9,3.2
2020-10-04,2,-2.6,-12.7,6.3
2020-10-04,3,-3.5,-10.7,5.3
2020-10-04,4,-7.9,-15.5,-0.4
2020-10-04,5,-17.8,-31.2,-3.4
2020-10-04,6,-1.3,-13.2,10.7
2020-10-04,7,-2.0,-18.7,12.3
2020-10-04,8,29.5,12.1,47.5
2020-10-04,9,17.0,-2.1,37.4
2020-10-04,10,21.6,4.4,38.9
2020-10-04,11,-3.7,-11.2,3.0
2020-10-04,12,-61.9,-82.8,-43.6
2020-10-04,13,-7.9,-31.9,16.0
2020-10-04,14,-4.9,-14.9,4.4
2020-10-04,15,-10.0,-19.4,-0.7
2020-10-04,16,-1.5,-9.9,6.2
2020-10-11,1,2.7,-3.6,8.9
2020-10-11,2,-6.1,-14.9,4.2
2020-10-11,3,-3.5,-9.5,3.6
2020-10-11,4,-4.1,-11.3,2.1
2020-10-11,5,-9.9,-23.9,3.4
2020-10-11,6,-2.0,-12.7,12.0
2020-10-11,7,-10.5,-23.4,2.5
2020-10-11,8,22.1,4.4,41.3
2020-10-11,9,-8.2,-25.7,6.9
2020-10-11,10,13.0,-4.2,29.4
2020-10-11,11,2.3,-3.6,9.2
2020-10-11,12,-34.7,-49.7,-21.3
2020-10-11,13,-5.0,-30.9,23.4
2020-10-11,14,11.7,2.6,22.6
2020-10-11,15,-3.0,-12.0,6.2
2020-10-11,16,-0.7,-8.7,6.4
2020-10-18,1,7.1,0.9,14.6
2020-10-18,2,-0.9,-8.4,7.4
2020-10-18,3,-3.5,-8.9,2.3
2020-10-18,4,-4.1,-9.6,1.0
2020-10-18,5,-12.2,-24.0,-0.3
2020-10-18,6,-19.9,-30.8,-7.7
2020-10-18,7,-15.0,-28.6,-0.4
2020-10-18,8,-18.4,-40.6,0.6
2020-10-18,9,19.1,2.0,39.9
2020-10-18,10,1.0,-16.5,18.7
2020-10-18,11,-10.7,-16.4,-4.6
2020-10-18,12,-4.9,-17.2,7.2
2020-10-18,13,-21.6,-45.6,4.2
2020-10-18,14,7.0,-1.8,17.2
2020-10-18,15,-6.6,-14.9,0.9
2020-10-18,16,2.3,-6.8,11.0
2020-10-25,1,-1.4,-8.9,5.6
2020-10-25,2,-5.8,-14.4,2.5
2020-10-25,3,-9.9,-15.8,-4.5
2020-10-25,4,-4.8,-9.9,0.4
2020-10-25,5,-1.4,-12.1,10.7
2020-10-25,6,-14.5,-25.0,-5.0
2020-10-25,7,2.5,-8.1,14.9
2020-10-25,8,-0.5,-23.0,20.4
2020-10-25,9,21.4,-0.1,41.5
2020-10-25,10,5.5,-12.7,24.2
2020-10-25,11,-1.5,-6.5,2.7
2020-10-25,12,4.8,-6.4,16.3
2020-10-25,13,-21.3,-46.1,4.4
2020-10-25,14,15.0,3.9,26.4
2020-10-25,15,-6.8,-14.7,0.1
2020-10-25,16,4.7,-4.0,13.4
2020-11-01,1,7.1,0.3,16.3
2020-11-01,2,-5.9,-12.9,1.4
2020-11-01,3,-4.6,-9.1,-0.7
2020-11-01,4,-0.6,-5.2,3.4
2020-11-01,5,2.2,-10.9,15.9
2020-11-01,6,2.9,-7.2,11.6
2020-11-01,7,-8.9,-19.2,2.7
2020-11-01,8,22.2,1.3,44.0
2020-11-01,9,-4.5,-23.6,13.4
2020-11-01,10,17.8,-5.5,38.3
2020-11-01,11,-1.6,-5.3,2.0
2020-11-01,12,-16.0,-28.4,-5.4
2020-11-01,13,-1.1,-18.9,19.9
2020-11-01,14,12.1,-0.2,23.3
2020-11-01,15,-1.2,-9.7,7.1
2020-11-01,16,0.0,-10.6,9.1
2020-11-08,1,-6.4,-14.6,1.9
2020-11-08,2,-0.3,-6.6,7.0
2020-11-08,3,3.5,-0.5,7.3
2020-11-08,4,2.3,-2.7,7.7
2020-11-08,5,-4.8,-17.9,8.1
2020-11-08,6,-4.9,-12.9,3.9
2020-11-08,7,4.2,-7.6,16.2
2020-11-08,8,31.5,12.3,50.9
2020-11-08,9,-19.9,-36.7,-4.3
2020-11-08,10,-16.5,-37.4,3.6
2020-11-08,11,-0.9,-4.1,2.1
2020-11-08,12,0.3,-10.4,11.1
2020-11-08,13,-1.2,-25.6,20.9
2020-11-08,14,5.2,-8.5,20.4
2020-11-08,15,-7.3,-14.2,0.2
2020-11-08,16,7.4,-0.6,15.7
2020-11-15,1,-3.3,-10.7,3.7
2020-11-15,2,-3.7,-10.4,3.3
2020-11-15,3,1.7,-2.7,6.7
2020-11-15,4,6.1,0.8,11.6
2020-11-15,5,1.6,-8.9,12.4
2020-11-15,6,1.8,-7.0,10.4
2020-11-15,7,-5.7,-16.3,6.3
2020-11-15,8,-0.8,-24.5,21.3
2020-11-15,9,-7.6,-28.3,9.0
2020-11-15,10,-15.3,-33.1,3.4
2020-11-15,11,-0.4,-3.4,3.0
2020-11-15,12,16.2,5.1,26.6
2020-11-15,13,12.8,-14.3,37.9
2020-11-15,14,-1.5,-15.1,11.9
2020-11-15,15,-5.2,-10.7,0.2
2020-11-15,16,2.8,-6.4,11.7
2020-11-22,1,3.6,-3.4,11.7
2020-11-22,2,0.6,-6.2,8.0
2020-11-22,3,0.2,-4.3,5.0
2020-11-22,4,9.1,2.7,16.3
2020-11-22,5,10.5,0.1,21.4
2020-11-22,6,1.3,-7.8,10.4
2020-11-22,7,0.5,-10.9,12.3
2020-11-22,8,35.7,12.7,56.7
2020-11-22,9,4.0,-13.0,22.7
2020-11-22,10,-40.3,-58.9,-22.7
2020-11-22,11,-1.1,-4.3,2.7
2020-11-22,12,1.3,-10.5,12.2
2020-11-22,13,27.3,5.1,52.5
2020-11-22,14,-11.8,-24.6,1.3
2020-11-22,15,-2.8,-8.1,3.1
2020-11-22,16,0.3,-10.5,9.3
2020-11-29,1,7.5,-0.4,15.4
2020-11-29,2,4.2,-2.4,9.9
2020-11-29,3,-2.5,-7.1,2.6
2020-11-29,4,4.2,-4.2,12.4
2020-11-29,5,15.6,2.4,28.9
2020-11-29,6,7.0,-2.9,15.9
2020-11-29,7,15.8,3.6,27.2
2020-11-29,8,43.9,21.4,65.2
2020-11-29,9,10.1,-8.5,28.3
2020-11-29,10,-1.0,-19.2,15.3
2020-11-29,11,1.2,-1.6,4.1
2020-11-29,12,2.8,-7.5,15.9
2020-11-29,13,73.9,52.1,100.0
2020-11-29,14,6.3,-6.5,19.2
2020-11-29,15,0.5,-4.6,5.4
2020-11-29,16,2.8,-6.9,12.9
2020-12-06,1,14.2,5.8,24.0
2020-12-06,2,17.5,10.3,25.2
2020-12-06,3,0.2,-3.6,4.0
2020-12-06,4,4.4,-3.4,12.7
2020-12-06,5,4.8,-8.9,19.1
2020-12-06,6,0.9,-9.3,9.7
2020-12-06,7,39.0,24.3,56.3
2020-12-06,8,28.7,3.5,53.0
2020-12-06,9,-0.8,-19.2,17.0
2020-12-06,10,1.2,-16.3,18.0
2020-12-06,11,0.8,-2.8,4.3
2020-12-06,12,1.2,-11.6,14.3
2020-12-06,13,56.7,32.2,84.7
2020-12-06,14,7.2,-5.1,19.2
2020-12-06,15,6.1,0.3,12.4
2020-12-06,16,3.3,-5.3,13.0
2020-12-13,1,21.0,11.3,32.0
2020-12-13,2,17.3,8.1,27.2
2020-12-13,3,4.8,-0.6,9.6
2020-12-13,4,6.4,-1.9,13.7
2020-12-13,5,30.4,14.6,46.9
2020-12-13,6,12.7,2.8,24.7
2020-12-13,7,46.1,30.6,62.1
2020-12-13,8,15.8,-12.7,47.3
2020-12-13,9,12.2,-7.1,31.0
2020-12-13,10,45.5,28.1,62.3
2020-12-13,11,4.3,-0.2,8.7
2020-12-13,12,-9.4,-23.2,2.9
2020-12-13,13,44.9,16.9,71.5
2020-12-13,14,0.2,-11.6,12.4
2020-12-13,15,0.4,-5.9,6.7
2020-12-13,16,5.7,-4.1,16.3
2020-12-20,1,23.5,9.4,37.2
2020-12-20,2,16.6,4.4,29.4
2020-12-20,3,1.7,-3.5,7.7
2020-12-20,4,-1.0,-9.1,7.3
2020-12-20,5,12.9,-4.7,30.3
2020-12-20,6,10.0,0.2,22.5
2020-12-20,7,44.9,25.3,64.2
2020-12-20,8,-16.0,-44.7,10.5
2020-12-20,9,20.4,3.4,40.2
2020-12-20,10,47.0,28.6,71.3
2020-12-20,11,9.4,4.6,14.9
2020-12-20,12,3.8,-7.9,15.9
2020-12-20,13,79.7,52.4,110.1
2020-12-20,14,9.4,-6.5,23.2
2020-12-20,15,3.7,-2.8,10.1
2020-12-20,16,21.0,9.9,31.2
2020-12-27,1,49.8,35.3,66.8
2020-12-27,2,67.4,52.9,84.4
2020-12-27,3,13.2,7.1,20.1
2020-12-27,4,15.5,6.6,24.0
2020-12-27,5,71.1,52.4,89.5
2020-12-27,6,34.9,21.7,47.9
2020-12-27,7,67.1,45.3,90.6
2020-12-27,8,61.9,32.8,92.2
2020-12-27,9,53.1,31.0,73.6
2020-12-27,10,104.0,84.6,128.1
2020-12-27,11,1.3,-4.8,7.2
2020-12-27,12,23.0,11.7,36.0
2020-12-27,13,133.6,99.0,166.3
2020-12-27,14,32.9,16.3,50.0
2020-12-27,15,10.3,2.8,18.0
2020-12-27,16,-3.7,-15.0,8.0
2021-01-03,1,75.8,57.6,96.8
2021-01-03,2,139.2,112.2,164.6
2021-01-03,3,27.5,18.3,36.2
2021-01-03,4,21.1,10.2,33.6
2021-01-03,5,65.6,43.3,87.5
2021-01-03,6,36.7,19.4,51.7
2021-01-03,7,59.1,33.0,84.9
2021-01-03,8,60.1,33.0,91.6
2021-01-03,9,41.1,18.0,71.2
2021-01-03,10,227.7,202.4,260.3
2021-01-03,11,13.1,5.4,20.3
2021-01-03,12,12.7,-1.7,27.2
2021-01-03,13,94.5,53.2,134.7
2021-01-03,14,67.2,43.4,86.9
2021-01-03,15,31.7,22.6,42.0
2021-01-03,16,16.2,2.4,29.4
2021-01-10,1,-11.1,-40.0,23.9
2021-01-10,2,-15.9,-44.4,14.7
2021-01-10,3,25.8,6.3,52.2
2021-01-10,4,8.4,-6.4,24.4
2021-01-10,5,-32.4,-62.0,-3.3
2021-01-10,6,-18.7,-36.6,3.0
2021-01-10,7,28.2,-7.5,67.8
2021-01-10,8,-46.4,-81.4,-8.4
2021-01-10,9,-41.9,-72.8,-6.6
2021-01-10,10,-19.1,-61.5,24.4
2021-01-10,11,-3.1,-12.7,8.4
2021-01-10,12,-27.7,-45.3,-8.3
2021-01-10,13,-30.1,-86.2,29.2
2021-01-10,14,6.8,-23.4,36.9
2021-01-10,15,15.2,3.1,28.7
2021-01-10,16,3.0,-14.5,19.6
2021-01-17,1,-212.2,-241.1,-186.4
2021-01-17,2,-269.4,-295.5,-243.9
2021-01-17,3,-82.7,-108.1,-63.5
2021-01-17,4,-87.0,-101.7,-73.8
2021-01-17,5,-247.6,-275.4,-222.2
2021-01-17,6,-124.9,-143.4,-108.3
2021-01-17,7,-370.7,-410.2,-332.9
2021-01-17,8,-431.3,-462.2,-403.8
2021-01-17,9,-256.4,-282.9,-233.1
2021-01-17,10,-547.7,-582.7,-509.0
2021-01-17,11,-32.1,-41.1,-25.0
2021-01-17,12,-86.7,-102.7,-72.8
2021-01-17,13,-758.7,-812.7,-705.4
2021-01-17,14,-210.2,-234.1,-188.0
2021-01-17,15,-81.2,-95.5,-68.8
2021-01-17,16,-98.8,-114.5,-86.0
