Domingo_semana,Indicador,Valor,cod_color
2020-03-08,A2,3.5312911690190916,4
2020-03-08,B1,0.05676605155182683,4
2020-03-08,B2,0.06555568793210668,3
2020-03-08,C2,0.0201402366636748,4
2020-03-08,C3,0.0607709750566893,4
2020-03-08,C4,0.13036048299494082,4
2020-03-08,C5,0.015220471441267319,4
2020-03-15,A2,3.0582668400948885,4
2020-03-15,B1,0.511892935644022,4
2020-03-15,B2,0.08746245280998968,3
2020-03-15,C2,0.0201402366636748,4
2020-03-15,C3,0.135110214735449,4
2020-03-15,C4,0.23273180343414915,4
2020-03-15,C5,0.06499177026061856,4
2020-03-22,A2,1.6040760252791413,4
2020-03-22,B1,0.9616970846902942,4
2020-03-22,B2,0.08750405587039502,3
2020-03-22,C2,0.0347441622677611,4
2020-03-22,C3,0.18122622640632172,4
2020-03-22,C4,0.272165076051812,4
2020-03-22,C5,0.0975307296511302,4
2020-03-29,A1,2.3258379067863553,2
2020-03-29,A2,1.1703980952759672,4
2020-03-29,B1,1.0578440338784376,3
2020-03-29,B2,0.11447713931302397,4
2020-03-29,C2,0.0725884641959597,4
2020-03-29,C3,0.27176737087777486,4
2020-03-29,C4,0.3409843536874268,4
2020-03-29,C5,0.18619845848681527,4
2020-04-05,A1,2.314490386296213,2
2020-04-05,A2,1.1240759577509343,4
2020-04-05,B1,1.3113016642100104,3
2020-04-05,B2,0.09695515988159702,3
2020-04-05,C2,0.140281223503441,4
2020-04-05,C3,0.4030656137655676,3
2020-04-05,C4,0.365699781531372,4
2020-04-05,C5,0.24694185546139943,4
2020-04-12,A1,3.0737143006913596,2
2020-04-12,A2,1.1906039794685814,4
2020-04-12,B1,1.486261800595368,3
2020-04-12,B2,0.10219630961495187,4
2020-04-12,C2,0.202582347034992,3
2020-04-12,C3,0.49966798705362375,3
2020-04-12,C4,0.40856992741192,3
2020-04-12,C5,0.32139036030813317,4
2020-04-12,D1,63.696000000000005,1
2020-04-12,D2,23.94836559138461,1
2020-04-19,A1,4.87667149481562,2
2020-04-19,A2,1.3787819075295185,4
2020-04-19,B1,2.175515609673047,3
2020-04-19,B2,0.11164183019172146,4
2020-04-19,C2,0.249147365286143,3
2020-04-19,C3,0.5320286929803724,3
2020-04-19,C4,0.40459421513833543,3
2020-04-19,C5,0.3227963793173226,4
2020-04-19,D1,66.3442857142857,1
2020-04-19,D2,24.519560925080548,1
2020-04-19,D4,15.000000000000002,3
2020-04-26,A1,10.878624241115649,4
2020-04-26,A2,1.718035833805613,4
2020-04-26,B1,2.221650874540052,3
2020-04-26,B2,0.1431071702808224,4
2020-04-26,C2,0.204731206517263,3
2020-04-26,C3,0.48225230343950287,3
2020-04-26,C4,0.36091993582776044,4
2020-04-26,C5,0.2641561157476087,4
2020-04-26,D1,64.33571428571427,1
2020-04-26,D2,24.564797496957937,1
2020-04-26,D4,15.931234012751828,3
2020-05-03,A1,19.688356432657468,4
2020-05-03,A2,1.7914172285884629,4
2020-05-03,B1,4.062318728751733,3
2020-05-03,B2,0.19723555814103017,4
2020-05-03,C2,0.177048626643348,4
2020-05-03,C3,0.30606220093379716,4
2020-05-03,C4,0.40989857211970515,3
2020-05-03,C5,0.19372396826646826,4
2020-05-03,D1,65.77714285714286,1
2020-05-03,D2,26.724070450097848,1
2020-05-03,D4,35.58083593393341,4
2020-05-10,A1,25.00215295455476,4
2020-05-10,A2,1.3710692269671785,4
2020-05-10,B1,5.497269363504408,2
2020-05-10,B2,0.2531683396393866,4
2020-05-10,C2,0.125330504897817,4
2020-05-10,C3,0.16072942057548742,4
2020-05-10,C4,0.4122735143455672,3
2020-05-10,C5,0.13661249591969254,4
2020-05-10,D1,72.61571428571429,1
2020-05-10,D2,33.89819371320489,1
2020-05-10,D4,46.47101914608893,4
2020-05-17,A1,28.11116249487825,4
2020-05-17,A2,1.1723002653778916,4
2020-05-17,B1,5.066340734186504,2
2020-05-17,B2,0.31926542121166557,4
2020-05-17,C2,0.0752933764722891,4
2020-05-17,C3,0.16718458242574144,4
2020-05-17,C4,0.3713826575290701,4
2020-05-17,C5,0.12638957164046613,4
2020-05-17,D1,80.35428571428572,3
2020-05-17,D2,42.04609596023546,1
2020-05-17,D4,50.74369856106413,4
2020-05-24,A1,27.374991529509582,4
2020-05-24,A2,1.0539685167375727,4
2020-05-24,B1,5.476514367677064,2
2020-05-24,B2,0.3590226329956806,4
2020-05-24,C2,0.0882924643931198,4
2020-05-24,C3,0.20204366557022943,4
2020-05-24,C4,0.35309730033018255,4
2020-05-24,C5,0.14086985699723129,4
2020-05-24,D1,86.15285714285713,4
2020-05-24,D2,51.051549051821304,2
2020-05-24,D4,39.97490725904492,4
2020-05-31,A1,26.710604070225738,4
2020-05-31,A2,1.0096794114302925,4
2020-05-31,B1,5.851330357055674,2
2020-05-31,B2,0.34500937900191914,4
2020-05-31,C2,0.0979146722583043,4
2020-05-31,C3,0.23200469929741074,4
2020-05-31,C4,0.36626840892152057,4
2020-05-31,C5,0.17507529055464657,4
2020-05-31,D1,88.28714285714285,4
2020-05-31,D2,54.33956664811523,2
2020-05-31,D4,22.31311272858651,4
2020-06-07,A1,23.452044029370626,4
2020-06-07,A2,0.9538522291573238,3
2020-06-07,B1,6.073842707085779,2
2020-06-07,B2,0.32195369950517044,4
2020-06-07,C2,0.12568317631384,4
2020-06-07,C3,0.3218604094780453,4
2020-06-07,C4,0.37486245015238234,4
2020-06-07,C5,0.22253721560922887,4
2020-06-07,D1,88.97857142857143,4
2020-06-07,D2,55.869472119521596,2
2020-06-07,D4,7.086011650587202,1
2020-06-14,A1,21.499554688973515,4
2020-06-14,A2,0.957101373367885,3
2020-06-14,B1,6.0656567076703265,2
2020-06-14,B2,0.2976722740959493,4
2020-06-14,C2,0.16781728395472,4
2020-06-14,C3,0.39899776796689285,4
2020-06-14,C4,0.41121596890915973,3
2020-06-14,C5,0.2710867872954939,4
2020-06-14,D1,88.50714285714285,4
2020-06-14,D2,60.351379522448326,2
2020-06-14,D4,13.442444106142332,2
2020-06-21,A1,17.354887742783713,4
2020-06-21,A2,0.9171965667170275,3
2020-06-21,B1,5.801303989327512,2
2020-06-21,B2,0.267720646304808,4
2020-06-21,C2,0.205443094947554,3
2020-06-21,C3,0.46887131735571275,3
2020-06-21,C4,0.4342582703526965,3
2020-06-21,C5,0.323508740719133,4
2020-06-21,D1,90.5942857142857,4
2020-06-21,D2,67.52010384218461,2
2020-06-21,D4,6.612440928920899,1
2020-06-28,A1,14.625701233633773,4
2020-06-28,A2,0.9029559984478998,3
2020-06-28,B1,5.207345491830631,2
2020-06-28,B2,0.24052021758925007,4
2020-06-28,C2,0.249935630182102,3
2020-06-28,C3,0.5174459638938717,3
2020-06-28,C4,0.4322492766702769,3
2020-06-28,C5,0.3440293261549002,4
2020-06-28,D1,90.62714285714286,4
2020-06-28,D2,67.35445068896408,2
2020-06-28,D4,-2.0802097200998224,1
2020-07-05,A1,12.779960262295587,4
2020-07-05,A2,0.9200764360146134,3
2020-07-05,B1,5.615463448337937,2
2020-07-05,B2,0.19295852344235362,4
2020-07-05,C2,0.253153315410724,3
2020-07-05,C3,0.546830035822031,3
2020-07-05,C4,0.464990939423891,3
2020-07-05,C5,0.3723882457554062,4
2020-07-05,D1,88.03,4
2020-07-05,D2,63.889366320453824,2
2020-07-05,D4,-5.345324363072352,1
2020-07-12,A1,11.292072274372378,4
2020-07-12,A2,0.9279593349831431,3
2020-07-12,B1,5.8919887111030125,2
2020-07-12,B2,0.15097589876380496,4
2020-07-12,C2,0.305321502269092,3
2020-07-12,C3,0.5466187890669029,3
2020-07-12,C4,0.47798840957167493,3
2020-07-12,C5,0.3767460082952782,4
2020-07-12,D1,85.55857142857143,4
2020-07-12,D2,59.193567934850975,2
2020-07-12,D4,-8.752955021465038,1
2020-07-19,A1,10.756862088375462,4
2020-07-19,A2,0.9674654206713751,3
2020-07-19,B1,6.040709599137848,2
2020-07-19,B2,0.1345073816026751,4
2020-07-19,C2,0.290501602951666,3
2020-07-19,C3,0.5370750344046062,3
2020-07-19,C4,0.4800624875327627,3
2020-07-19,C5,0.37398949017322847,4
2020-07-19,D1,84.53571428571429,3
2020-07-19,D2,54.24602986070118,2
2020-07-19,D4,-14.192004069323332,1
2020-07-26,A1,10.227433493893935,4
2020-07-26,A2,0.966844492009527,3
2020-07-26,B1,7.393800239735987,2
2020-07-26,B2,0.10466753535989202,4
2020-07-26,C2,0.308709347291045,3
2020-07-26,C3,0.49471435660280527,3
2020-07-26,C4,0.4947803831883405,3
2020-07-26,C5,0.3667346514297303,4
2020-07-26,D1,82.91571428571429,3
2020-07-26,D2,49.3144196195964,1
2020-07-26,D4,-10.478827197944948,1
2020-08-02,A1,9.933691936394123,3
2020-08-02,A2,1.0040933081918002,4
2020-08-02,B1,8.323795848663115,2
2020-08-02,B2,0.08847965056143124,3
2020-08-02,C2,0.316188431180295,3
2020-08-02,C3,0.4741427905603679,3
2020-08-02,C4,0.5098831694770731,3
2020-08-02,C5,0.36808509058664857,4
2020-08-02,D1,81.08285714285714,3
2020-08-02,D2,47.33755146461882,1
2020-08-02,D4,-8.073014544989277,1
2020-08-09,A1,9.216701171449548,3
2020-08-09,A2,0.9711416102436082,3
2020-08-09,B1,8.946893567397609,2
2020-08-09,B2,0.07847893346385475,3
2020-08-09,C2,0.34578910896544,3
2020-08-09,C3,0.4944244306809568,3
2020-08-09,C4,0.5233325258190475,3
2020-08-09,C5,0.3978499016724453,4
2020-08-09,D1,80.34142857142857,3
2020-08-09,D2,45.11641086709701,1
2020-08-09,D4,-5.7745709904065645,1
2020-08-16,A1,9.613667080322708,3
2020-08-16,A2,1.0122960971707886,4
2020-08-16,B1,9.283004095862973,2
2020-08-16,B2,0.07030552445994594,3
2020-08-16,C2,0.360083668913853,3
2020-08-16,C3,0.5376700010449372,3
2020-08-16,C4,0.5146373099871516,3
2020-08-16,C5,0.40560235771093944,3
2020-08-16,D1,79.51285714285714,2
2020-08-16,D2,41.60427743179232,1
2020-08-16,D4,-5.751660521938356,1
2020-08-23,A1,10.043744072033281,4
2020-08-23,A2,1.046038771009273,4
2020-08-23,B1,9.897211011644897,2
2020-08-23,B2,0.06840671728617823,3
2020-08-23,C2,0.324701310340329,3
2020-08-23,C3,0.5836965782759569,3
2020-08-23,C4,0.5084249716644661,3
2020-08-23,C5,0.41076869559483964,3
2020-08-23,D1,78.97142857142858,2
2020-08-23,D2,37.72607268236368,1
2020-08-23,D4,-9.800842762953016,1
2020-08-30,A1,10.12536546082366,4
2020-08-30,A2,1.0361036425572299,4
2020-08-30,B1,10.627130516473425,1
2020-08-30,B2,0.06511983742043342,3
2020-08-30,C2,0.270294334418036,3
2020-08-30,C3,0.5614928647472719,3
2020-08-30,C4,0.48663210077625607,3
2020-08-30,C5,0.39102182296890475,4
2020-08-30,D1,80.49857142857142,3
2020-08-30,D2,35.997403113788216,1
2020-08-30,D4,-2.4789795092453852,1
2020-09-06,A1,9.175587631784495,3
2020-09-06,A2,0.988948569862937,3
2020-09-06,B1,10.99983209524069,1
2020-09-06,B2,0.0632407594638745,3
2020-09-06,C2,0.212935163123653,3
2020-09-06,C3,0.517431320126821,3
2020-09-06,C4,0.4685721174870384,3
2020-09-06,C5,0.35511280822164204,4
2020-09-06,D1,81.30285714285715,3
2020-09-06,D2,35.67945573336167,1
2020-09-06,D4,-3.14919325305639,1
2020-09-13,A1,8.039734327243364,3
2020-09-13,A2,0.9462051547402117,3
2020-09-13,B1,10.370251652305438,1
2020-09-13,B2,0.06320140117370382,3
2020-09-13,C2,0.159404831351659,4
2020-09-13,C3,0.5164073755352757,3
2020-09-13,C4,0.43744761500167134,3
2020-09-13,C5,0.32681290148993497,4
2020-09-13,D1,82.0185714285714,3
2020-09-13,D2,34.93083098554184,1
2020-09-13,D4,-8.036515345254424,1
2020-09-20,A1,9.176762304346353,3
2020-09-20,A2,1.0417330516456684,4
2020-09-20,B1,9.73927628570298,2
2020-09-20,B2,0.06956258842046419,3
2020-09-20,C3,0.5399118655564702,3
2020-09-20,C4,0.44457642457363544,3
2020-09-20,C5,0.33203574079555187,4
2020-09-20,D1,81.47285714285714,3
2020-09-20,D2,35.411352553591236,1
2020-09-20,D4,-6.9720536747430675,1
2020-09-27,A1,8.474032798473107,3
2020-09-27,A2,1.012620241557021,4
2020-09-27,B1,11.883134469833932,1
2020-09-27,B2,0.05790241338587183,3
2020-09-27,C3,0.4924193972436274,3
2020-09-27,C4,0.5184632998860956,3
2020-09-27,C5,0.3885079247589021,4
2020-09-27,D1,80.97142857142856,3
2020-09-27,D2,34.2609158357058,1
2020-09-27,D4,-1.0784030607810426,1
2020-10-04,A1,8.179153276928984,3
2020-10-04,A2,0.9881337423781199,3
2020-10-04,B1,11.176590948986396,1
2020-10-04,B2,0.05395340766134095,3
2020-10-04,C3,0.5362463991092409,3
2020-10-04,C4,0.5253716970174299,3
2020-10-04,C5,0.41497031620850533,3
2020-10-04,D1,82.09000000000002,3
2020-10-04,D2,33.61763346697226,1
2020-10-04,D4,-5.506027868500956,1
2020-10-11,A1,7.956277512575052,3
2020-10-11,A2,1.0009098820037805,4
2020-10-11,B1,10.326876867958802,1
2020-10-11,B2,0.056778792646018525,3
2020-10-11,C3,0.5795599728830582,3
2020-10-11,C4,0.5340909551186536,3
2020-10-11,C5,0.437198957772685,3
2020-10-11,D1,84.12285714285714,3
2020-10-11,D2,33.30529287809458,1
2020-10-11,D4,-4.687369896370972,1
2020-10-18,A1,7.57663802398931,3
2020-10-18,A2,0.9979484785217337,3
2020-10-18,B1,11.127482294197183,1
2020-10-18,B2,0.053493778647954696,3
2020-10-18,C3,0.56673430024017,3
2020-10-18,C4,0.551113193404068,3
2020-10-18,C5,0.4433954676063519,3
2020-10-18,D1,83.82142857142857,3
2020-10-18,D2,32.69362709807267,1
2020-10-18,D4,-4.035006900745125,1
2020-10-25,A1,7.467870686464697,3
2020-10-25,A2,0.9945037120444665,3
2020-10-25,B1,11.44695652250522,1
2020-10-25,B2,0.046466712871471264,2
2020-10-25,C3,0.5842820579681084,3
2020-10-25,C4,0.5455163621883753,3
2020-10-25,C5,0.4414005001169942,3
2020-10-25,D1,83.8342857142857,3
2020-10-25,D2,32.6935542611234,1
2020-10-25,D4,-5.803247069338717,1
2020-11-01,A1,7.57852851264355,3
2020-11-01,A2,1.0173632348184372,4
2020-11-01,B1,11.684027470598863,1
2020-11-01,B2,0.046996764172458495,2
2020-11-01,C3,0.5961672131589278,3
2020-11-01,C4,0.5415090529747434,3
2020-11-01,C5,0.4517989037592214,3
2020-11-01,D1,84.15142857142857,3
2020-11-01,D2,32.308618079415844,1
2020-11-01,D4,-4.207728512576764,1
2020-11-08,A1,7.574949432181639,3
2020-11-08,A2,1.02227859939866,4
2020-11-08,B1,11.955398857498782,1
2020-11-08,B2,0.044279563925830275,2
2020-11-08,C3,0.618993447054363,2
2020-11-08,C4,0.5561197521316318,3
2020-11-08,C5,0.4604585266361624,3
2020-11-08,D1,84.57142857142857,3
2020-11-08,D2,32.39090752601805,1
2020-11-08,D4,-4.601240474268535,1
2020-11-15,A1,7.5580268055873585,3
2020-11-15,A2,1.0135707813136856,4
2020-11-15,B1,11.880153738208216,1
2020-11-15,B2,0.04373591633313898,2
2020-11-15,C3,0.6148239309986891,2
2020-11-15,C4,0.5687788265412707,3
2020-11-15,C5,0.470673173314569,3
2020-11-15,D1,85.44285714285714,4
2020-11-15,D2,32.50218486134371,1
2020-11-15,D4,-2.7062017657948694,1
2020-11-22,A1,7.795035349201151,3
2020-11-22,A2,1.0388900028499528,4
2020-11-22,B1,12.012223642678704,1
2020-11-22,B2,0.044959365709351794,2
2020-11-22,C3,0.6251135983062871,2
2020-11-22,C4,0.5817257134538261,3
2020-11-22,C5,0.4727297312732351,3
2020-11-22,D1,85.70000000000002,4
2020-11-22,D2,31.808132947255647,1
2020-11-22,D4,-2.1174967676837646,1
2020-11-29,A1,8.781907135232784,3
2020-11-29,A2,1.0745479289670359,4
2020-11-29,B1,12.199011263421275,1
2020-11-29,B2,0.045713462671291914,2
2020-11-29,C3,0.6179355402553554,2
2020-11-29,C4,0.578608856324254,3
2020-11-29,C5,0.4634905795905643,3
2020-11-29,D1,86.48285714285716,4
2020-11-29,D2,31.85050808757765,1
2020-11-29,D4,-1.6695680078934756,1
2020-12-06,A1,9.710687692228742,3
2020-12-06,A2,1.108065052817237,4
2020-12-06,B1,12.107996164987755,1
2020-12-06,B2,0.051375695310711254,3
2020-12-06,C3,0.6147410039477011,2
2020-12-06,C4,0.5624327145462612,3
2020-12-06,C5,0.44349773196445874,3
2020-12-06,D1,86.47857142857144,4
2020-12-06,D2,30.99963117190186,1
2020-12-06,D4,-0.9670401351039196,1
2020-12-13,A1,11.125966232422055,4
2020-12-13,A2,1.13628895702923,4
2020-12-13,B1,13.904907466270194,1
2020-12-13,B2,0.05243238633696753,3
2020-12-13,C3,0.6016852743450117,2
2020-12-13,C4,0.5765702302570459,3
2020-12-13,C5,0.45221594174387986,3
2020-12-13,D1,85.6542857142857,4
2020-12-13,D2,29.99157289698598,1
2020-12-13,D4,4.232569037755628,1
2020-12-20,A1,12.463936634638006,4
2020-12-20,A2,1.1071499662393829,4
2020-12-20,B1,13.958582660643632,1
2020-12-20,B2,0.05933355761259638,3
2020-12-20,C3,0.5516058540156171,3
2020-12-20,C4,0.5780726267120538,3
2020-12-20,C5,0.4448442991402084,3
2020-12-20,D1,86.58571428571429,4
2020-12-20,D2,31.920895886695835,1
2020-12-20,D4,4.40505672975529,1
2020-12-27,A1,16.284063577096727,4
2020-12-27,A2,1.2096302179480571,4
2020-12-27,B1,12.332901910362647,1
2020-12-27,B2,0.08318283776125544,3
2020-12-27,C3,0.5575255378230753,3
2020-12-27,C4,0.5765160860551501,3
2020-12-27,C5,0.4336248627452558,3
2020-12-27,D1,86.95142857142858,4
2020-12-27,D2,35.00449298052367,1
2020-12-27,D4,5.14994183924469,1
2021-01-03,A1,21.504914132536953,4
2021-01-03,A2,1.2553503809312645,4
2021-01-03,B1,15.29270968107126,1
2021-01-03,B2,0.08692156572443184,3
2021-01-03,C3,0.507504174572367,3
2021-01-03,C4,0.5708954728628381,3
2021-01-03,C5,0.4078911123931252,3
2021-01-03,D1,88.73857142857142,4
2021-01-03,D2,39.036138938537306,1
2021-01-03,D4,10.283136503017797,2
2021-01-10,A1,21.430909761139883,4
2021-01-10,A2,1.1071216218878814,4
2021-01-10,B1,18.92732278834669,1
2021-01-10,B2,0.08017884142391705,3
2021-01-10,C3,0.46742764171052414,3
2021-01-10,C4,0.5630498938931018,3
2021-01-10,D1,91.65142857142857,4
2021-01-10,D2,46.05039319665756,1
2021-01-10,D4,12.443656759997918,2
2021-01-17,A1,21.797205703593242,4
2021-01-17,A2,1.0452975634371244,4
2021-01-17,B1,19.229911098578008,1
2021-01-17,B2,0.08179410426068678,3
2021-01-17,C3,0.5233608308577236,3
2021-01-17,D1,91.69285714285715,4
2021-01-17,D2,50.0831250335457,2
2021-01-17,D4,15.829023911819046,3
2021-01-24,A1,21.741096734505728,4
2021-01-24,A2,1.0007397229503858,4
2021-01-24,B1,18.536878759426347,1
2021-01-24,B2,0.0821961077097052,3
2021-01-24,D1,92.13333333333333,4
2021-01-24,D2,52.66889074228524,2
2021-01-24,D4,14.82819909991376,2
